Radius,Mass,Period,SemiMajorAxis,EqTemp,Density,StarTemp,StarLum,StarMet,Insolation,Target_Habitable,Habitability_Score,Log_Period,Star_Type_G,Star_Type_K,Star_Type_M,Star_Type_Other
2.43,2860.455663,11.12522242,93.9,912.0,1.527272,9770.0,1.77085,0.02,62.3,0,0.11795592207881407,2.495287780572825,False,False,False,True
2.43,4290.5,11.12522242,260.0,912.0,1.527272,5550.0,-0.10297,0.02,62.3,0,0.11795592207881407,2.495287780572825,False,True,False,False
2.43,1147.36054927,8905.0,8.996,912.0,1.527272,5550.0,-0.10297,0.02,62.3,0,0.11795592207881407,9.094480485881647,False,False,False,False
2.43,425.89006538,4168.69,4.01,912.0,1.527272,3680.0,-0.10297,0.02,62.3,0,0.11795592207881407,8.335596971501875,False,False,True,False
3.95677019,174.48779544,8.46308,0.0649,600.0,1.527272,3678.0,-1.0381,0.23,21.2,0,0.13015065993136002,2.247397911469015,False,False,False,True
2.52202066,174.48779544,18.85969,0.1108,459.0,1.527272,3678.0,-1.0381,0.23,7.3,0,0.2574530485792688,2.988692049230347,False,False,False,True
2.43,1.053,12.73596,0.115,912.0,1.527272,3678.0,-1.0381,0.23,62.3,0,0.11795592207881407,2.620017211535023,False,False,False,True
2.43,21.1,33.11,0.115,912.0,1.527272,3665.0,-0.99,0.12,62.3,0,0.11795592207881407,3.5295905964305545,False,False,False,True
2.43,2034.112,481.9,1.3,912.0,1.527272,4095.0,2.7,-0.71,62.3,0,0.11795592207881407,6.179809592879496,False,False,False,True
2.43,6.2,1.271869,0.0208,1820.0,1.527272,4596.0,-0.7167,-0.05,62.3,0,0.08140146497356747,0.8206028407458883,False,True,False,False
2.43,330.5432,268.94,0.78,912.0,1.527272,4864.0,-0.10297,0.17,62.3,0,0.11795592207881407,5.5981997120811355,False,False,False,True
2.43,337.21763,153.22,0.576,912.0,1.527272,4649.0,1.57,-0.22,62.3,0,0.11795592207881407,5.038380154404814,False,False,False,True
2.43,352.78,137.48,0.539,912.0,1.527272,4796.0,2.01,0.28,62.3,0,0.11795592207881407,4.930725910867953,False,True,False,False
2.43,6807.63,379.63,1.45,912.0,1.527272,4137.0,3.17,-1.0,62.3,0,0.11795592207881407,5.94182777466688,False,True,False,False
2.43,3963.17,621.99,2.01,912.0,1.527272,4137.0,3.17,-1.0,62.3,0,0.11795592207881407,6.4345304672942625,False,True,False,False
2.43,1334.886,578.2,1.3,912.0,1.527272,4296.0,1.96,-0.46,62.3,0,0.11795592207881407,6.361647841071506,False,True,False,False
2.57807,22.2481,41.6855,0.115,912.0,1.527272,5766.0,-0.10297,-0.15,62.3,0,0.10697728600078064,3.753859284110427,False,False,False,True
